category,name,description,price,original_price,badge
Most ordered,38. Rulla kebab,,€13.00,,
Most ordered,Fantasia,Omavalintaiset täytteet,€12.00,,
Most ordered,11. Smetana Pizza,"Kebabliha, sipuli, jalopeno, feta, tomaatti, smetana, valkosipuli",€14.50,,
Most ordered,17. Empire,"Kinkku, salami, sipuli, tomaatti, katkarapu, valkosipuli",€14.00,,
Most ordered,Fantasia + Cola,Omavalintaiset täytteet,€11.69,€16.70,
Most ordered,"Coca-Cola 0,5l","Coca-Cola on ylivoimaisesti suosituin virvoitusjuoma Suomessa ja koko maailmassa. Se on aito ja alkuperäinen kolajuoma, jonka resepti on yhä salainen, yli 130 vuotta ensilasillisen jälkeen. Coca-Colan jäljittelemätön kolanmaku ja virkistävyys perustuvat kaikkialla maailmassa samaan perinteiseen reseptiin. Mutta yksi asia reseptistä tiedetään varmasti. Nimittäin, ettei juomaan ole lisätty säilöntäaineita tai keinotekoisia aromeja.",€4.00,€8.00,
Most ordered,29. Kebab perunoilla,,€12.50,,
Most ordered,5. Americana,"Kinkku, ananas, aurajuusto",€13.00,,
Most ordered,70. Kerrosjuusto burger,"2x160g pihvi, 2xcheddarjuusto",€14.90,,
Most ordered,57. Falafelrulla,,€11.00,,
Most ordered,88. Ranskalaiset,,€7.00,,
Most ordered,12. Dilinger,"Kinkku, salami, jauheliha, sipuli",€13.50,,
Pizzat,Fantasia + Cola,Omavalintaiset täytteet,€11.69,€16.70,
Pizzat,1. Bolognese,Jauheliha,€12.00,,
Pizzat,2. Tropicana,"Kinkku, ananas",€12.50,,
Pizzat,3. Opera,"Kinkku, tonnikala",€12.50,,
Pizzat,5. Americana,"Kinkku, ananas, aurajuusto",€13.00,,
Pizzat,6. Chicken Hawajii,"Kana, ananas, aurajuusto",€13.00,,
Pizzat,7. Mexicana,"Jalapeno, pepperoni, mexkastike, ananas, valkosipuli",€17.50,,
Pizzat,8. Kebab Pizza,"Kebab, sipuli, jalopeno, tomaatti, aurajuusto",€13.50,,
Pizzat,9. Pohjantähti,"Pepperoni, sipuli, savuporo, herkkusieni, paprika 18,00 26,00",€14.00,,
Pizzat,10. Barbeque Pizza,"Kana, ananas, pekoni, mozzarella, bbq-kastike",€14.00,,
Pizzat,11. Smetana Pizza,"Kebabliha, sipuli, jalopeno, feta, tomaatti, smetana, valkosipuli",€14.50,,
Pizzat,12. Dilinger,"Kinkku, salami, jauheliha, sipuli",€13.50,,
Pizzat,13. Hermanni Special,"Kinkku, salami, pekoni, kananmuna, smetana, valkosipuli 16,50",€14.00,,
Pizzat,14. Papan Special,"Pepperoni, sipuli, oliivi, pekoni, tomaatti, talonkastike",€14.50,,
Pizzat,15. Quattro Stagione,"Kinkku, herkkusieni, paprika, katkarapu",€13.50,,
Pizzat,16. Opera Special,"Kinkku, salami, tonnikala",€13.00,,
Pizzat,17. Empire,"Kinkku, salami, sipuli, tomaatti, katkarapu, valkosipuli",€14.00,,
Pizzat,18. Julia,"Kinkku, ananas, katkarapu, aurajuusto",€13.50,,
Pizzat,19. Kokin Special,"Kebab, pekoni, salami, kinkku, pepperoni",€14.50,,
Pizzat,20. Talon Special,"Kebab, vihreäpepperoni, sipuli, salami, talon kastike",€14.00,,
Pizzat,21. Inter Pizza,"Kebab, sipuli, jalopeno, tomaatti, talon kastike",€14.00,,
